0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/a.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/c.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/f.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/d.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/e.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/h.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/g.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/i.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:28 +0700] "GET /PhanTrang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:30 +0700] "GET /PhanTrang/san-pham/4 HTTP/1.1" 200 18007
